GEOID,NAME,B05002_001E,B05002_001M,B05002_013E,B05002_013M
18833,ZCTA5 18833,1902,240,19,21
18914,ZCTA5 18914,21888,719,2066,436
18091,ZCTA5 18091,6155,509,354,193
18066,ZCTA5 18066,6143,463,103,67
18069,ZCTA5 18069,8600,960,1037,327
18074,ZCTA5 18074,5709,523,261,139
18103,ZCTA5 18103,46884,2000,7017,1064
18214,ZCTA5 18214,1720,217,9,20
18230,ZCTA5 18230,91,45,0,11
18237,ZCTA5 18237,3725,373,412,107
18244,ZCTA5 18244,287,157,0,11
18322,ZCTA5 18322,3020,795,150,92
18330,ZCTA5 18330,8635,910,458,238
18333,ZCTA5 18333,729,274,0,11
18355,ZCTA5 18355,1163,663,70,85
18370,ZCTA5 18370,1600,740,30,37
18405,ZCTA5 18405,2712,389,26,26
22960,ZCTA5 22960,10319,700,181,125
22967,ZCTA5 22967,2582,711,164,130
22973,ZCTA5 22973,5750,632,133,96
22976,ZCTA5 22976,408,213,14,27
22206,ZCTA5 22206,20716,1306,3755,625
96075,ZCTA5 96075,353,113,17,16
96084,ZCTA5 96084,514,188,39,31
96013,ZCTA5 96013,4883,675,205,115
96022,ZCTA5 96022,14624,1502,404,199
96032,ZCTA5 96032,2732,320,117,52
96047,ZCTA5 96047,939,240,63,47
96052,ZCTA5 96052,1724,359,34,37
96054,ZCTA5 96054,265,110,3,5
96076,ZCTA5 96076,201,115,42,56
96103,ZCTA5 96103,1343,296,33,26
96104,ZCTA5 96104,920,268,63,57
96106,ZCTA5 96106,465,208,11,16
96109,ZCTA5 96109,914,329,12,21
96113,ZCTA5 96113,1916,291,169,77
96125,ZCTA5 96125,84,45,0,13
96133,ZCTA5 96133,136,74,12,19
96137,ZCTA5 96137,3076,373,107,77
96712,ZCTA5 96712,6754,1022,472,149
96728,ZCTA5 96728,458,132,44,45
96738,ZCTA5 96738,7793,1032,1416,463
96754,ZCTA5 96754,3500,506,505,252
96761,ZCTA5 96761,23117,1418,6064,935
96763,ZCTA5 96763,2888,467,867,280
96776,ZCTA5 96776,1315,409,146,85
96781,ZCTA5 96781,1086,278,209,111
96785,ZCTA5 96785,3926,885,119,94
96818,ZCTA5 96818,59923,2444,10518,923
96821,ZCTA5 96821,18700,1103,2698,373
96091,ZCTA5 96091,678,192,7,12
96096,ZCTA5 96096,718,171,33,26
96105,ZCTA5 96105,351,265,29,47
96119,ZCTA5 96119,11,17,0,13
96148,ZCTA5 96148,679,282,207,176
96006,ZCTA5 96006,615,237,2,3
96007,ZCTA5 96007,23670,1356,1436,553
96062,ZCTA5 96062,1217,336,17,11
96063,ZCTA5 96063,250,182,0,13
96088,ZCTA5 96088,5022,463,72,61
96090,ZCTA5 96090,503,179,30,39
96093,ZCTA5 96093,3469,491,66,58
96108,ZCTA5 96108,158,130,0,13
96110,ZCTA5 96110,87,47,0,13
96115,ZCTA5 96115,167,75,9,15
96116,ZCTA5 96116,149,116,0,13
96117,ZCTA5 96117,304,129,0,13
97005,ZCTA5 97005,27393,1647,6643,1045
97011,ZCTA5 97011,813,260,0,13
97018,ZCTA5 97018,1696,287,36,28
97456,ZCTA5 97456,3056,489,279,173
97632,ZCTA5 97632,1731,334,343,111
97865,ZCTA5 97865,1511,273,22,33
97873,ZCTA5 97873,274,83,0,13
97876,ZCTA5 97876,1034,191,16,24
97880,ZCTA5 97880,367,102,18,20
97886,ZCTA5 97886,990,256,57,44
97901,ZCTA5 97901,710,160,64,55
97903,ZCTA5 97903,21,25,0,13
97420,ZCTA5 97420,27906,766,1376,314
97040,ZCTA5 97040,1725,354,347,219
98244,ZCTA5 98244,3483,772,301,140
98271,ZCTA5 98271,28473,1144,2197,512
98325,ZCTA5 98325,1321,444,33,47
98345,ZCTA5 98345,339,132,0,13
98337,ZCTA5 98337,7223,912,573,200
98338,ZCTA5 98338,28999,1797,1156,290
98340,ZCTA5 98340,3421,730,214,220
98346,ZCTA5 98346,9273,913,467,180
98376,ZCTA5 98376,2176,365,135,81
98385,ZCTA5 98385,362,121,26,24
98408,ZCTA5 98408,20670,1587,2523,373
98409,ZCTA5 98409,27918,1746,3399,617
98444,ZCTA5 98444,35604,1793,7117,763
98445,ZCTA5 98445,31973,2079,4020,680
98506,ZCTA5 98506,18404,1126,1500,416
98513,ZCTA5 98513,36473,1892,3894,621
98530,ZCTA5 98530,608,169,8,10
98538,ZCTA5 98538,378,102,14,20
98834,ZCTA5 98834,234,117,16,17
98853,ZCTA5 98853,14,21,0,13
98855,ZCTA5 98855,6033,673,623,287
98856,ZCTA5 98856,2612,560,80,80
98922,ZCTA5 98922,7630,721,85,64
98926,ZCTA5 98926,34893,661,2023,326
98643,ZCTA5 98643,355,138,28,31
98645,ZCTA5 98645,1962,467,29,35
98648,ZCTA5 98648,3207,306,166,64
98664,ZCTA5 98664,23601,1936,3094,609
98665,ZCTA5 98665,27260,1627,2963,538
98682,ZCTA5 98682,63768,2500,7449,879
98686,ZCTA5 98686,20059,1039,1777,387
98821,ZCTA5 98821,1000,578,438,579
98822,ZCTA5 98822,1798,288,107,68
98837,ZCTA5 98837,43952,1381,5240,961
98942,ZCTA5 98942,17454,783,1652,452
98055,ZCTA5 98055,24077,1608,6154,864
98065,ZCTA5 98065,15896,502,1835,426
98103,ZCTA5 98103,54194,2269,6797,1225
98112,ZCTA5 98112,25694,1542,2645,346
98144,ZCTA5 98144,33175,1824,8825,950
98208,ZCTA5 98208,58211,2779,14025,1841
98220,ZCTA5 98220,839,509,0,13
98221,ZCTA5 98221,22290,315,1330,125
98004,ZCTA5 98004,37265,1444,13823,1136
98005,ZCTA5 98005,21414,1409,8721,821
01009,ZCTA5 01009,649,369,0,13
01063,ZCTA5 01063,623,171,83,47
01066,ZCTA5 01066,30,46,0,13
01074,ZCTA5 01074,396,292,51,77
01079,ZCTA5 01079,515,269,0,13
01086,ZCTA5 01086,351,170,25,36
01093,ZCTA5 01093,295,108,3,5
01094,ZCTA5 01094,428,204,0,13
01097,ZCTA5 01097,93,56,0,13
01199,ZCTA5 01199,0,13,0,13
