GCFIP,PES16,PES16_se,PES15,PES15_se,PES2,PES2_se,total_pop,white,black,asian,native,hispanic,per_gop,civic_opp_orgs,all_non_profits,civic_opp_pc,all_orgs_pc
22,1.7606572042240844,0.015114179907900049,1.7590783267702175,0.0173281302130747,4.018599779437425,0.10421761333671366,9066744,0.6032780896868821,0.31817816848032765,0.015292590151436943,0.006196711851575384,0.042476108292017506,0.5846088241400853,6895,19104,0.7604714548022973,2.1070408517103822
23,1.6658972729366712,0.02408528770719538,1.6702730482744401,0.030693004710130582,3.400473047608441,0.18999050901039635,2656722,0.9442440722062753,0.011408043446021074,0.010119237165198317,0.006180548811655868,0.012748793437928395,0.4422776316759653,2760,8457,1.0388742216912419,3.1832461205952294
24,1.6810720999053892,0.024029243410454565,1.6842479537013308,0.0246897094009767,3.357554991813479,0.10093423787466523,11547104,0.5469696990691346,0.28998249257995773,0.054852541381804475,0.0023928077550873362,0.08151515739357677,0.32150291567748757,13948,32526,1.2079219170451743,2.8168101716239846
25,1.701368850310101,0.017196676343957894,1.7214311153342727,0.017563225515330082,3.676359068328167,0.07168651502794897,13095258,0.7613137518940062,0.05982211270675232,0.053071882967101525,0.0016460920433946395,0.09585973792956198,0.3214191103050557,12239,35591,0.9346131248425957,2.7178540506800246
26,1.7072026916954326,0.01818583351254818,1.6902854400254024,0.021660425539397232,3.8044178863608287,0.11002268758476218,19767280,0.7659059820066292,0.140004694626676,0.023927419452752226,0.0055308570526648075,0.04414952385963066,0.4783729069113762,18127,43544,0.9170204499556844,2.202832154955057
27,1.6182381356326527,0.024506906121005433,1.6593096065836361,0.025069839561980452,3.5436278455824066,0.06987626127064203,10607850,0.8305437953968052,0.05074374166301371,0.040158184740545916,0.010449054238134966,0.04718354803282475,0.4528494240916937,14264,30046,1.344664564449912,2.8324306999062014
28,1.795307603351549,0.01559076866394972,1.7840521594250898,0.019631099223548082,3.9607506626429774,0.06772727356996093,5934594,0.5804228562223465,0.36852125014786186,0.008585928540351707,0.004665862567852157,0.027459671209184654,0.5754080436260339,4220,11353,0.711084869495706,1.9130205031717418
29,1.668869171509317,0.0183629854002416,1.6935919146632812,0.018747023456623577,3.860311371755939,0.10153180881437388,11977854,0.8099527678330358,0.11473657969115336,0.016233458848304547,0.004017748087428683,0.035477139728034755,0.5679965577888949,12343,30641,1.0304850935735232,2.5581377098101212
30,1.6612742140540344,0.022432883614274014,1.6478555184721353,0.026585869970467895,3.4652926837859983,0.10272160015827979,1978830,0.8779207915788623,0.003783043515612761,0.006203665802519671,0.06054284602517649,0.028870595250728968,0.5672340074288073,3764,8912,1.9021340893356176,4.503671361359996
31,1.5838275426599377,0.02653585844299561,1.6048138937146128,0.026501265089574105,3.6480674764031265,0.09918875332945305,3652682,0.8211790678739622,0.044328523534214036,0.017477020994436418,0.008101991906221236,0.09166141481793379,0.5822440685125876,5105,11059,1.397603185823458,3.027638321649681
